,model,mse,thetas
0,1 1 1,7.035153929394646e+230,1.4711566691060476e+103 6.053515281031884e+104 3.177105894172625e+106 1.1105502477878218e+104
1,1 1 2,1.3575391213701374e+231,2.0414597365093508e+103 8.400118036442474e+104 4.4084334256331965e+106 1.5418816876138245e+104 1.4930373303429482e+105
2,1 1 3,9.365241840115709e+263,4.6184881001655225e+119 1.8977037974111897e+121 9.893181925384018e+122 3.756586401448315e+120 3.8203716619688347e+121 4.292401036640879e+122
3,1 1 4,2.0647476246342052e+59,3179837625145879.0 1.2944121410612858e+17 6.490928443526869e+18 3.804666352485696e+16 4.700627089807449e+17 5.933330740493075e+18 7.60870919935377e+19
4,1 2 1,2.7697564834167295e+77,5.08550743651484e+19 2.0896914319924013e+21 1.1526518741840606e+23 2.718998398097401e+26 3.837043489466822e+20
5,1 2 2,2.7698324457677836e+77,5.085577171968903e+19 2.089720087061142e+21 1.1526676799949327e+23 2.719035682485579e+26 3.8370961056348596e+20 3.712531604920025e+21
6,1 2 3,2.770695698719699e+77,5.0863695169274e+19 2.0900456699235417e+21 1.152847265257325e+23 2.719459301786402e+26 3.837693989079059e+20 3.713110116521081e+21 4.031518828692473e+22
7,1 2 4,2.785897233556303e+77,5.100292254147928e+19 2.0957666054060413e+21 1.1560024975039906e+23 2.7269014451706447e+26 3.8482069980000335e+20 3.723287808788838e+21 4.042574143106876e+22 4.6781109388552884e+23
8,1 3 1,9.609168329646743e+22,0.9999999999296452 0.999999997110893 0.9999998348317031 0.999599031034745 -0.0003995814833336551 0.9999999994693726
9,1 3 2,9.610089394210278e+22,0.9999999999296451 0.9999999971108928 0.9999998348316436 0.9995990309713317 -0.0003995865511721871 0.9999999994693725 0.9999999948686715
10,1 3 3,9.620030880473344e+22,0.999999999929645 0.9999999971108707 0.9999998348309832 0.9995990302792214 -0.0003996415439018872 0.9999999994693514 0.9999999948685372 0.9999999443124414
11,1 3 4,9.737249364599303e+22,0.9999999999296245 0.9999999971106462 0.9999998348233714 0.9995990222338241 -0.00040027760815621174 0.9999999994692388 0.9999999948667136 0.9999999442877597 0.9999993555259695
12,1 4 1,3.8997755286875446e+29,0.9999999999999755 0.9999999999989891 0.9999999999396543 0.9999998493076822 0.9996152351142812 -0.0003841126372234541 0.9999999999998144
