,model,mse,thetas
0,1 1 1,18345964588.755672,34.76604317661846 2710.1937963630135 244.3970378558 258.2568534623355
1,1 1 2,17682201285.62319,32.77122761122628 2658.6102215116407 227.15011383270237 129.52421894345767 560.9880873074167
2,1 1 3,17590353986.826107,32.889267979536214 2664.1398759809126 230.41462505338555 128.4143639535834 507.0590397238745 -4.343229149538655
3,1 1 4,32694475976.25284,1.480822630816618 44.297828607776815 283.25684534777696 3.2225906366043797 13.02746960487012 57.00150521659955 -1.8286401290792111
4,1 2 1,83434673691.01329,1.0000113173888028 1.0007016319749065 1.010687615348288 0.11941927277389346 1.0000863211667659
5,1 2 2,83418936483.48532,1.000011316035923 1.000701579161632 1.0106862892245534 0.11940592080384048 1.0000862862789879 1.0008421420570575
6,1 2 3,83249474776.12633,1.0000113011497844 1.0007010023863776 1.0106716949014447 0.11925992293214145 1.0000858478160237 1.0008356926953477 1.0091080143586553
7,1 2 4,81340331764.18123,1.0000111207487148 1.0006940519148846 1.0104947923226957 0.11743660641311622 1.0000801028505504 1.0007485098470854 1.0079033878923078 1.0894857052564078
8,1 3 1,228471236195.14545,0.9999999999088267 0.9999999964494904 0.9999998050462524 0.9995656552515609 -0.00035401285156173433 0.999999999319521
9,1 3 2,228500842451.77618,0.9999999999088267 0.9999999964494901 0.9999998050432464 0.9995656521333536 -0.00035401777263418816 0.9999999993195209 0.9999999934163389
10,1 3 3,228818707971.334,0.9999999999088266 0.9999999964483802 0.9999998050101002 0.9995656180162574 -0.0003540710900245172 0.9999999993184121 0.9999999934094966 0.9999999283558729
11,1 3 4,232631523446.69577,0.9999999999088259 0.9999999964361868 0.9999998046250747 0.999565220711843 -0.0003546874534211083 0.9999999993120089 0.9999999933173448 0.9999999271059531 0.999999152984848
12,1 4 1,2.500364976902312e+18,0.9999999999999756 0.9999999999989811 0.9999999999259147 0.9999998282721547 0.9995912601550367 -0.00038340905140625255 0.9999999999998194
